/M0/D X,/M0/D Y
0,2.586012097704338e-12
0.024,4.582187167896414e-12
0.048,8.834061240637023e-12
0.07200000000000001,1.787865429823538e-11
0.096,3.708789062021247e-11
0.12,7.779522889828069e-11
0.144,1.637756725457668e-10
0.168,3.443754875933409e-10
0.192,7.208176490929149e-10
0.216,1.497028328756889e-09
0.24,3.073418848034673e-09
0.264,6.209176628892696e-09
0.288,1.227977711436069e-08
0.312,2.364311318725239e-08
0.336,4.409515998844058e-08
0.36,7.934669192259475e-08
0.3840000000000001,1.373928460385776e-07
0.4080000000000001,2.286282659971173e-07
0.4320000000000001,3.65673392438034e-07
0.4560000000000001,5.630220693172699e-07
0.4800000000000001,8.365487484046629e-07
0.5040000000000001,1.202742133924748e-06
0.5280000000000001,1.677594208670158e-06
0.5520000000000002,2.275328858451395e-06
0.5760000000000002,3.00731064451523e-06
0.6000000000000002,3.881405841784065e-06
0.6240000000000002,4.901869836060496e-06
0.6480000000000002,6.069655653788337e-06
0.6720000000000003,7.382956126193278e-06
0.6960000000000003,8.837800536686911e-06
0.7200000000000003,1.042857932560303e-05
0.7440000000000003,1.214842528207171e-05
0.7680000000000003,1.39894154418395e-05
0.7920000000000004,1.59425723441115e-05
0.8160000000000004,1.799764830278229e-05
0.8400000000000004,2.014270114375213e-05
0.8640000000000004,2.23635663519369e-05
0.8880000000000005,2.464353735444843e-05
0.9120000000000005,2.696376347115842e-05
0.9360000000000005,2.930468469914362e-05
0.9600000000000005,3.164807253926678e-05
0.9840000000000005,3.397865770873794e-05
1.008,3.628468977029817e-05
1.032,3.855759564134853e-05
1.056,4.079126816270742e-05
1.080000000000001,4.298137180691975e-05
1.104000000000001,4.512480847448886e-05
1.128000000000001,4.721934712060279e-05
1.152000000000001,4.92633775327199e-05
1.176000000000001,5.125574793601128e-05
1.2,5.319565661159949e-05
